venue,symbol_raw,base_token,quote_asset,last_price,price_change_24h_pct,volume_24h_base,volume_24h_quote,turnover_24h_usd,open_interest,snapshot_time
binance,0GUSDT,0G,USDT,0.5304000,1.009,9235987,4856782.1858000,4856782.1858000,,2026-04-10T07:36:27+00:00
binance,1000000BOBUSDT,1000000BOB,USDT,0.0123500,0.981,31586994,387022.7423100,387022.7423100,,2026-04-10T07:36:32+00:00
binance,1000000MOGUSDT,1000000MOG,USDT,0.1336000,-1.692,10904313.1,1483619.3959200,1483619.3959200,,2026-04-10T07:36:20+00:00
binance,1000BONKUSDC,1000BONK,USDC,0.0058710,2.300,323492199,1900532.1471040,1900532.1471040,,2026-04-10T07:36:17+00:00
binance,1000BONKUSDT,1000BONK,USDT,0.0058720,2.282,6192779586,36371307.2044420,36371307.2044420,,2026-04-10T07:36:26+00:00
binance,1000CATUSDT,1000CAT,USDT,0.0016850,0.119,916939229,1544123.7282140,1544123.7282140,,2026-04-10T07:36:30+00:00
binance,1000CHEEMSUSDT,1000CHEEMS,USDT,0.0004605,9.072,2385398602,1062207.5794414,1062207.5794414,,2026-04-10T07:36:32+00:00
binance,1000FLOKIUSDT,1000FLOKI,USDT,0.0285100,3.185,311821114,8831852.6958500,8831852.6958500,,2026-04-10T07:36:26+00:00
binance,1000LUNCUSDT,1000LUNC,USDT,0.0386000,6.015,112356274,4240627.0471400,4240627.0471400,,2026-04-10T07:36:33+00:00
binance,1000PEPEUSDC,1000PEPE,USDC,0.0035010,1.045,4675629036,16450192.7690878,16450192.7690878,,2026-04-10T07:36:28+00:00
binance,1000PEPEUSDT,1000PEPE,USDT,0.0035008,1.024,93388235982,328393226.1524871,328393226.1524871,,2026-04-10T07:36:31+00:00
binance,1000RATSUSDT,1000RATS,USDT,0.0361600,-0.932,35104206,1284099.0106800,1284099.0106800,,2026-04-10T07:36:28+00:00
binance,1000SATSUSDT,1000SATS,USDT,0.0000110,0.917,162550702959,1795722.9372972,1795722.9372972,,2026-04-10T07:36:21+00:00
binance,1000SHIBUSDC,1000SHIB,USDC,0.0058930,0.443,375527223,2216775.0909140,2216775.0909140,,2026-04-10T07:36:26+00:00
binance,1000SHIBUSDT,1000SHIB,USDT,0.005893,0.426,7779168972,45952851.584806,45952851.584806,,2026-04-10T07:36:31+00:00
binance,1000XECUSDT,1000XEC,USDT,0.00697,1.161,88843599,615042.91750,615042.91750,,2026-04-10T07:36:21+00:00
binance,1INCHUSDT,1INCH,USDT,0.0919,0.657,25852599,2388119.0009,2388119.0009,,2026-04-10T07:36:29+00:00
binance,1MBABYDOGEUSDT,1MBABYDOGE,USDT,0.0003922,0.051,3342485469,1317233.4123967,1317233.4123967,,2026-04-10T07:36:02+00:00
binance,2ZUSDT,2Z,USDT,0.0812400,2.576,33102803,2631986.3888300,2631986.3888300,,2026-04-10T07:36:31+00:00
binance,4USDT,4,USDT,0.0167440,-6.442,2388815697,41197162.6641250,41197162.6641250,,2026-04-10T07:36:23+00:00
binance,AUSDT,A,USDT,0.0790500,0.547,22004335,1740720.8771500,1740720.8771500,,2026-04-10T07:36:18+00:00
binance,AAVEUSDC,AAVE,USDC,89.930,-0.838,68261.0,6198917.394,6198917.394,,2026-04-10T07:36:29+00:00
binance,AAVEUSDT,AAVE,USDT,89.950,-0.827,676661.9,61468882.142,61468882.142,,2026-04-10T07:36:33+00:00
binance,ACEUSDT,ACE,USDT,0.118400,-2.310,13790477.45,1675950.922465,1675950.922465,,2026-04-10T07:36:08+00:00
binance,ACHUSDT,ACH,USDT,0.0058610,0.068,318520466,1870597.5593660,1870597.5593660,,2026-04-10T07:36:24+00:00
binance,ACTUSDT,ACT,USDT,0.0122100,1.75,177952261,2200043.2306700,2200043.2306700,,2026-04-10T07:36:05+00:00
binance,ACUUSDT,ACU,USDT,0.0855000,0.364,10999407,926855.9014400,926855.9014400,,2026-04-10T07:36:00+00:00
