token,venue_count,venues,earliest_listing_time_utc,earliest_listing_time_sgt,listing_age_days,coingecko_id,current_price_usd,price_change_24h_pct,volume_24h_usd,market_cap_usd,match_status
RAVE,4,"Binance, Bitget, Bybit, OKX",2025-12-14T15:30:00+00:00,2025-12-14 23:30:00 SGT,119.7,ravedao,8.64,210.922232559078,600017550.329825043678,2142328816.77071595192,matched_exact_symbol_unique
XNY,2,"Binance, Bybit",2025-08-13T11:45:00+00:00,2025-08-13 19:45:00 SGT,242.9,codatta,0.00473163,47.956794278186,19014638.039261639118,11863734.296151867136,matched_exact_symbol_unique
ON,1,Binance,2025-10-24T08:30:00+00:00,2025-10-24 16:30:00 SGT,171,orochi-network,0.120082,42.762935414752,5157708.41281744279,17314114.866649545729,matched_exact_symbol_unique
BLESS,3,"Binance, Bitget, Bybit",2025-09-23T09:30:00+00:00,2025-09-23 17:30:00 SGT,202,bless-2,0.01188657,42.407322377203,9691603.509052343667,21927187.608877550811,matched_exact_symbol_unique
GIGGLE,4,"Binance, Bitget, Bybit, OKX",2025-10-09T09:45:00+00:00,2025-10-09 17:45:00 SGT,186,giggle-fund,38.56,33.059385627562,84154463.203826546669,38508749.40231975913,matched_exact_symbol_unique
TRADOOR,1,Binance,2025-09-19T12:30:00+00:00,2025-09-19 20:30:00 SGT,205.9,tradoor,5.07,31.683317597132,82099941.48275886476,74245796.168448403478,matched_exact_symbol_unique
TAC,3,"Binance, Bitget, Bybit",2025-07-15T10:30:00+00:00,2025-07-15 18:30:00 SGT,272,tac,0.00618567,22.560663941939,2659531.984098881483,18246083.810743734241,matched_exact_symbol_unique
VELVET,3,"Binance, Bitget, Bybit",2025-07-15T09:15:00+00:00,2025-07-15 17:15:00 SGT,272,velvet,0.093139,19.720271990161,4500031.17932348419,34140727.176851905882,matched_exact_symbol_unique
EVAA,2,"Binance, Bybit",2025-10-03T10:30:00+00:00,2025-10-03 18:30:00 SGT,192,evaa-protocol,0.767894,18.597947116009,3725854.217614122666,5080021.229257600382,matched_exact_symbol_unique
ACU,4,"Binance, Bitget, Bybit, OKX",2026-01-21T12:45:00+00:00,2026-01-21 20:45:00 SGT,81.9,acurast,0.09563,18.410713332504,5899676.236356491223,23126689.850459679961,matched_exact_symbol_unique
ENJ,4,"Binance, Bitget, Bybit, OKX",2019-09-25T08:00:00+00:00,2019-09-25 16:00:00 SGT,2392.1,enjincoin,0.0387996,17.327047832339,271273265.5739107728,75206573.304060712457,matched_exact_symbol_unique
PROM,3,"Binance, Bitget, Bybit",2023-09-05T05:29:56+00:00,2023-09-05 13:29:56 SGT,951.2,prometeus,1.33,15.839695278189,5627145.324318124913,24292905.951387759298,matched_exact_symbol_unique
IRYS,3,"Binance, Bitget, Bybit",2025-11-26T16:00:00+00:00,2025-11-27 00:00:00 SGT,137.7,irys,0.03011451,13.852882682453,23029344.64365299046,60718930.711591422558,matched_exact_symbol_unique
DRIFT,5,"Binance, Bitget, Bybit, Drift, dYdX",2024-05-21T09:32:48+00:00,2024-05-21 17:32:48 SGT,692,drift-protocol,0.04207541,11.752217068496,27991650.841118983924,25729776.399661369622,matched_exact_symbol_unique
TRIA,4,"Binance, Bitget, Bybit, OKX",2026-02-05T07:30:00+00:00,2026-02-05 15:30:00 SGT,67.1,tria,0.02733362,11.681243571288,9183948.484595848247,58763150.923520714045,matched_exact_symbol_unique
FOLKS,3,"Binance, Bitget, Bybit",2025-11-06T12:30:00+00:00,2025-11-06 20:30:00 SGT,157.9,folks,1.04,11.658109704873,4065586.256241292693,14542616.318195359781,matched_exact_symbol_unique
ROBO,4,"Binance, Bitget, Bybit, OKX",2026-02-25T09:31:02+00:00,2026-02-25 17:31:02 SGT,47,robo-token-2,0.01977015,11.638441085079,38074955.179577685893,43980590.083374910057,matched_exact_symbol_unique
0G,5,"Binance, Bitget, Bybit, Hyperliquid, OKX",2025-09-17T15:45:00+00:00,2025-09-17 23:45:00 SGT,207.7,zero-gravity,0.596869,9.57066129896,134918633.389824062586,127324613.055630490184,matched_exact_symbol_unique
ACH,4,"Binance, Bitget, Bybit, OKX",2022-04-08T08:07:37+00:00,2022-04-08 16:07:37 SGT,1466.1,alchemy-pay,0.00619857,7.716996941546,17807233.33562303707,30642781.558282114565,matched_exact_symbol_unique
CYS,3,"Binance, Bitget, Bybit",2025-12-12T11:00:00+00:00,2025-12-12 19:00:00 SGT,121.9,cysic,0.265766,7.578008426717,20467387.648891258985,42260465.839956305921,matched_exact_symbol_unique
LUMIA,3,"Binance, Bitget, Bybit",2024-10-25T07:36:02+00:00,2024-10-25 15:36:02 SGT,535.1,lumia,0.082829,7.338069940666,4069819.559685970191,11469364.578524123877,matched_exact_symbol_unique
PLUME,4,"Binance, Bitget, Bybit, OKX",2025-01-24T06:45:00+00:00,2025-01-24 14:45:00 SGT,444.1,plume,0.01027078,7.143322999108,33378620.617988001555,54671912.39964915067,matched_exact_symbol_unique
JTO,7,"Binance, Bitget, Bybit, Drift, dYdX, Hyperliquid, OKX",2023-12-07T19:50:19+00:00,2023-12-08 03:50:19 SGT,857.6,jito-governance-token,0.3228,7.068660643435,24484148.808637689799,148013609.198066651821,matched_exact_symbol_unique
FHE,2,"Binance, Bybit",2025-04-12T15:00:00+00:00,2025-04-12 23:00:00 SGT,365.8,mind-network,0.01665767,6.982814433306,6846318.949827874079,4148937.76734161051,matched_exact_symbol_unique
EDU,2,"Binance, Bybit",2023-04-28T00:00:00+00:00,2023-04-28 08:00:00 SGT,1081.4,edu-coin,0.04663087,6.526855914073,25666127.854939091951,34320140.581752896309,matched_exact_symbol_unique
