token,coingecko_id,current_price_usd,price_change_24h_pct,volume_24h_usd,market_cap_usd,market_data_as_of,match_status
币安人生,,,,,,,unmatched_no_symbol_candidate
我踏马来了,,,,,,,unmatched_no_symbol_candidate
龙虾,,,,,,,unmatched_no_symbol_candidate
0G,zero-gravity,0.589698,-5.774762920953,46086898.271545290947,125727569.487565785646,2026-04-14T07:38:16+00:00,matched_exact_symbol_unique
1000000BABYDOGE,,,,,,,unmatched_no_symbol_candidate
1000000BOB,,,,,,,unmatched_no_symbol_candidate
1000000CHEEMS,,,,,,,unmatched_ambiguous_symbol_candidates
1000000MOG,og-fan-token,2.72,3.007035512336,5082207.982480954379,12639864.060723286122,2026-04-14T07:38:28+00:00,matched_stripped_multiplier_unique
10000QUBIC,qubic-network,0.000000808673,8.85955200678,2716917.608963458333,110648794.240066975355,2026-04-14T07:38:24+00:00,matched_stripped_multiplier_unique
10000SATS,,,,,,,unmatched_ambiguous_symbol_candidates
1000BONK,1000bonk,0.00589862,4.271183379521,1195944.114226884907,0,2026-04-14T07:33:38+00:00,matched_exact_symbol_unique
1000BTT,1000btt,,,,,1970-01-01T00:00:00+00:00,matched_exact_symbol_unique
1000CAT,1000cat,0.00171288,4.058379095215,891388.705994601594,0,2026-04-14T07:37:49+00:00,matched_exact_symbol_unique
1000CHEEMS,1000chems,0.00047411,6.256265091152,1811180.096079280134,0,2026-04-14T07:37:38+00:00,matched_exact_symbol_unique
1000FLOKI,,,,,,,unmatched_ambiguous_symbol_candidates
1000LUNC,,,,,,,unmatched_ambiguous_symbol_candidates
1000NEIROCTO,,,,,,,unmatched_no_symbol_candidate
1000PEPE,,,,,,,unmatched_ambiguous_symbol_candidates
1000RATS,1000rats,,,,,1970-01-01T00:00:00+00:00,matched_exact_symbol_unique
1000SATS,1000sats-ordinals,0.0000116,8.43997763961,2960646.881521028932,0,2026-04-14T07:37:47+00:00,matched_exact_symbol_unique
1000SHIB,1000shib,,,,,1970-01-01T00:00:00+00:00,matched_exact_symbol_unique
1000TAG,tagger,0.00083931,0.697143742578,7869536.842933928594,91459799.059584990144,2026-04-14T07:38:04+00:00,matched_stripped_multiplier_unique
1000TOSHI,,,,,,,unmatched_ambiguous_symbol_candidates
1000TURBO,,,,,,,unmatched_ambiguous_symbol_candidates
1000XEC,ecash,0.00000696,2.722990107124,4322102.150222028606,139350440.389648616314,2026-04-14T07:38:01+00:00,matched_stripped_multiplier_unique
1INCH,1inch,0.095489,4.212145893743,11164830.52744345367,134205082.478284686804,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
1MBABYDOGE,1mbabydoge,0.00039935,3.357214646006,1149241.758788299281,0,2026-04-14T07:37:38+00:00,matched_exact_symbol_unique
1MCHEEMS,,,,,,,unmatched_ambiguous_symbol_candidates
2Z,doublezero,0.080487,5.505732597765,8867033.219548182562,279421186.652292311192,2026-04-14T07:38:05+00:00,matched_exact_symbol_unique
4,4-2,0.01134252,-18.023893829016,4955998.957658211701,11341453.487606860697,2026-04-14T07:38:06+00:00,matched_exact_symbol_unique
A,vaulta,0.079347,2.864287291252,13470002.765157405287,129700720.886764392257,2026-04-14T07:38:10+00:00,matched_exact_symbol_unique
AAPL,,,,,,,unmatched_no_symbol_candidate
AAVE,aave,99.97,3.620525093834,340213371.910629570484,1516301533.085482120514,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
ACE,,,,,,,unmatched_ambiguous_symbol_candidates
ACH,alchemy-pay,0.00616758,-0.625285262142,9262080.713735785335,30485212.87714555487,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
ACN,,,,,,,unmatched_no_symbol_candidate
ACT,,,,,,,unmatched_ambiguous_symbol_candidates
ACU,acurast,0.09131,-4.916880297781,6129226.436205597594,22108745.614089626819,2026-04-14T07:38:03+00:00,matched_exact_symbol_unique
ACX,across-protocol,0.04322744,0.935965579345,2267671.050632226281,30459463.156650088727,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
ADA,,,,,,,unmatched_ambiguous_symbol_candidates
AERGO,aergo,0.054853,2.776336225074,4001097.491258400958,25909615.588701449335,2026-04-14T07:38:04+00:00,matched_exact_symbol_unique
AERO,aerodrome-finance,0.376221,6.161893504763,15970805.772775927559,345951428.479276001453,2026-04-14T07:38:03+00:00,matched_exact_symbol_unique
AEVO,aevo-exchange,0.02278648,1.525806922191,5953126.630299664102,20879690.242787573487,2026-04-14T07:38:21+00:00,matched_exact_symbol_unique
AGI,,,,,,,unmatched_ambiguous_symbol_candidates
AGLD,adventure-gold,0.248973,4.018316298813,4738344.988413554616,21734127.476836852729,2026-04-14T07:38:02+00:00,matched_exact_symbol_unique
AGT,,,,,,,unmatched_ambiguous_symbol_candidates
AI,,,,,,,unmatched_ambiguous_symbol_candidates
