venue,symbol_raw,base_token,quote_asset,last_price,price_change_24h_pct,volume_24h_base,volume_24h_quote,turnover_24h_usd,open_interest,fetch_status,snapshot_time,data_freshness,source_error
binance,0GUSDT,0G,USDT,0.5883000,-4.636,44726539,26609442.9962000,26609442.9962000,,success,2026-04-14T07:38:22+00:00,fresh,
binance,1000000BOBUSDT,1000000BOB,USDT,0.0126000,3.704,46066329,574881.9870400,574881.9870400,,success,2026-04-14T07:38:15+00:00,fresh,
binance,1000000MOGUSDT,1000000MOG,USDT,0.1360000,5.672,7958495.5,1066341.7906200,1066341.7906200,,success,2026-04-14T07:38:13+00:00,fresh,
binance,1000BONKUSDC,1000BONK,USDC,0.0059070,4.846,474009682,2774010.2876160,2774010.2876160,,success,2026-04-14T07:37:59+00:00,fresh,
binance,1000BONKUSDT,1000BONK,USDT,0.0059080,4.901,7604755206,44754321.6949900,44754321.6949900,,success,2026-04-14T07:38:25+00:00,fresh,
binance,1000CATUSDT,1000CAT,USDT,0.0017130,4.324,1329629427,2270056.0578900,2270056.0578900,,success,2026-04-14T07:38:22+00:00,fresh,
binance,1000CHEEMSUSDT,1000CHEEMS,USDT,0.0004748,6.745,6293856340,3045073.6051923,3045073.6051923,,success,2026-04-14T07:38:27+00:00,fresh,
binance,1000FLOKIUSDT,1000FLOKI,USDT,0.0287400,4.585,313244412,8975868.8393100,8975868.8393100,,success,2026-04-14T07:38:25+00:00,fresh,
binance,1000LUNCUSDT,1000LUNC,USDT,0.0414600,2.219,164235074,6859793.5987400,6859793.5987400,,success,2026-04-14T07:38:13+00:00,fresh,
binance,1000PEPEUSDC,1000PEPE,USDC,0.0036638,5.625,6897728827,25012438.2939079,25012438.2939079,,success,2026-04-14T07:38:23+00:00,fresh,
binance,1000PEPEUSDT,1000PEPE,USDT,0.0036631,5.595,116137580863,419832664.4127272,419832664.4127272,,success,2026-04-14T07:38:23+00:00,fresh,
binance,1000RATSUSDT,1000RATS,USDT,0.0374800,2.181,41904909,1567235.6510700,1567235.6510700,,success,2026-04-14T07:38:14+00:00,fresh,
binance,1000SATSUSDT,1000SATS,USDT,0.0000115,8.491,577877444359,6589088.7913542,6589088.7913542,,success,2026-04-14T07:38:20+00:00,fresh,
binance,1000SHIBUSDC,1000SHIB,USDC,0.0058940,2.167,402163670,2357764.5606750,2357764.5606750,,success,2026-04-14T07:38:24+00:00,fresh,
binance,1000SHIBUSDT,1000SHIB,USDT,0.005892,2.221,8436038203,49500956.258083,49500956.258083,,success,2026-04-14T07:38:24+00:00,fresh,
binance,1000XECUSDT,1000XEC,USDT,0.00695,2.507,129050539,890679.41088,890679.41088,,success,2026-04-14T07:38:07+00:00,fresh,
binance,1INCHUSDT,1INCH,USDT,0.0948,3.720,30114935,2794751.9977,2794751.9977,,success,2026-04-14T07:38:25+00:00,fresh,
binance,1MBABYDOGEUSDT,1MBABYDOGE,USDT,0.0003993,3.553,6139989456,2430693.6052813,2430693.6052813,,success,2026-04-14T07:38:01+00:00,fresh,
binance,2ZUSDT,2Z,USDT,0.0801900,5.430,28317127,2212440.4036700,2212440.4036700,,success,2026-04-14T07:38:10+00:00,fresh,
binance,4USDT,4,USDT,0.0114100,-17.677,1275429244,16246922.5924100,16246922.5924100,,success,2026-04-14T07:38:26+00:00,fresh,
binance,AUSDT,A,USDT,0.0791700,2.979,26856112,2086996.1699800,2086996.1699800,,success,2026-04-14T07:38:18+00:00,fresh,
binance,AAPLUSDT,AAPL,USDT,259.36000,0.197,8954.60,2315304.12750,2315304.12750,,success,2026-04-14T07:38:00+00:00,fresh,
binance,AAVEUSDC,AAVE,USDC,99.830,3.429,96656.0,9437729.311,9437729.311,,success,2026-04-14T07:38:25+00:00,fresh,
binance,AAVEUSDT,AAVE,USDT,99.870,3.460,1135449.8,110954236.351,110954236.351,,success,2026-04-14T07:38:25+00:00,fresh,
binance,ACEUSDT,ACE,USDT,0.112900,4.151,12359054.64,1374050.330292,1374050.330292,,success,2026-04-14T07:38:22+00:00,fresh,
binance,ACHUSDT,ACH,USDT,0.0061640,-0.645,639575924,3915843.3660580,3915843.3660580,,success,2026-04-14T07:38:01+00:00,fresh,
binance,ACTUSDT,ACT,USDT,0.0132800,5.986,572104556,7614954.3204700,7614954.3204700,,success,2026-04-14T07:38:02+00:00,fresh,
binance,ACUUSDT,ACU,USDT,0.0917400,-4.873,44461608,4080754.4950700,4080754.4950700,,success,2026-04-14T07:38:15+00:00,fresh,
binance,ACXUSDT,ACX,USDT,0.0432200,0.911,22373296.3,960691.3509950,960691.3509950,,success,2026-04-14T07:38:00+00:00,fresh,
binance,ADAUSDC,ADA,USDC,0.243500,2.225,54142593.9,13122309.852060,13122309.852060,,success,2026-04-14T07:38:27+00:00,fresh,
binance,ADAUSDT,ADA,USDT,0.24350,2.268,936097907,226760707.43450,226760707.43450,,success,2026-04-14T07:38:26+00:00,fresh,
binance,AERGOUSDT,AERGO,USDT,0.0546800,2.666,19171230,1037053.4336900,1037053.4336900,,success,2026-04-14T07:38:12+00:00,fresh,
binance,AEROUSDT,AERO,USDT,0.3754000,6.165,16613939.0,6163118.0980200,6163118.0980200,,success,2026-04-14T07:38:20+00:00,fresh,
binance,AEVOUSDT,AEVO,USDT,0.0227700,1.606,53744548.6,1216014.2172190,1216014.2172190,,success,2026-04-14T07:37:39+00:00,fresh,
binance,AGLDUSDT,AGLD,USDT,0.2490000,4.271,7474847,1835233.7760000,1835233.7760000,,success,2026-04-14T07:37:50+00:00,fresh,
binance,AGTUSDT,AGT,USDT,0.0106500,-4.399,169316753,1823714.8125970,1823714.8125970,,success,2026-04-14T07:38:24+00:00,fresh,
binance,AIUSDT,AI,USDT,0.019430,0.778,76533803,1488408.453140,1488408.453140,,success,2026-04-14T07:38:13+00:00,fresh,
binance,AIAUSDT,AIA,USDT,0.1143500,-6.623,356896769,39540901.0804900,39540901.0804900,,success,2026-04-14T07:38:25+00:00,fresh,
binance,AINUSDT,AIN,USDT,0.0727600,-3.960,97739110,7352713.7916400,7352713.7916400,,success,2026-04-14T07:38:16+00:00,fresh,
binance,AIOUSDT,AIO,USDT,0.1029900,-10.389,153931612,17081689.6401300,17081689.6401300,,success,2026-04-14T07:38:18+00:00,fresh,
binance,AIOTUSDT,AIOT,USDT,0.0581500,8.692,1177386450,70050676.4160000,70050676.4160000,,success,2026-04-14T07:38:26+00:00,fresh,
binance,AIXBTUSDT,AIXBT,USDT,0.0244500,5.343,200704388,4873650.7259800,4873650.7259800,,success,2026-04-14T07:38:18+00:00,fresh,
binance,AKEUSDT,AKE,USDT,0.0008065,36.118,39702339754,26054447.0056171,26054447.0056171,,success,2026-04-14T07:38:24+00:00,fresh,
binance,AKTUSDT,AKT,USDT,0.4521000,4.459,5139434.4,2333280.3766200,2333280.3766200,,success,2026-04-14T07:37:31+00:00,fresh,
binance,ALCHUSDT,ALCH,USDT,0.0652800,2.722,12358343,793480.2940200,793480.2940200,,success,2026-04-14T07:38:12+00:00,fresh,
binance,ALGOUSDT,ALGO,USDT,0.1121,10.880,260749050.6,27933938.7370,27933938.7370,,success,2026-04-14T07:38:23+00:00,fresh,
binance,ALICEUSDT,ALICE,USDT,0.111,2.778,12943079.8,1422292.389,1422292.389,,success,2026-04-14T07:38:02+00:00,fresh,
binance,ALLUSDT,ALL,USDT,0.505900,3.860,1072950,532473.644100,532473.644100,,success,2026-04-14T07:36:58+00:00,fresh,
binance,ALLOUSDT,ALLO,USDT,0.1125000,2.862,46153719,5164480.3695700,5164480.3695700,,success,2026-04-14T07:38:20+00:00,fresh,
binance,ALPINEUSDT,ALPINE,USDT,0.415900,2.262,3218502.7,1320549.433280,1320549.433280,,success,2026-04-14T07:38:07+00:00,fresh,
binance,ALTUSDT,ALT,USDT,0.0068210,3.114,364726174,2481695.5930200,2481695.5930200,,success,2026-04-14T07:38:26+00:00,fresh,
binance,AMZNUSDT,AMZN,USDT,240.82000,2.302,53774.63,12784869.21880,12784869.21880,,success,2026-04-14T07:38:05+00:00,fresh,
binance,ANIMEUSDT,ANIME,USDT,0.0046670,4.151,470453279,2157797.5605770,2157797.5605770,,success,2026-04-14T07:38:06+00:00,fresh,
binance,ANKRUSDT,ANKR,USDT,0.005181,1.648,780273793,4009041.816992,4009041.816992,,success,2026-04-14T07:38:07+00:00,fresh,
binance,APEUSDT,APE,USDT,0.0883,4.127,73428892,6420028.2732,6420028.2732,,success,2026-04-14T07:37:59+00:00,fresh,
binance,API3USDT,API3,USDT,0.2835,2.904,3635337.8,1018880.9821,1018880.9821,,success,2026-04-14T07:38:16+00:00,fresh,
binance,APRUSDT,APR,USDT,0.2201900,26.466,42504707,8546237.8397900,8546237.8397900,,success,2026-04-14T07:38:19+00:00,fresh,
binance,APTUSDT,APT,USDT,0.86550,5.859,47874342.9,40891467.12236,40891467.12236,,success,2026-04-14T07:38:26+00:00,fresh,
binance,ARUSDT,AR,USDT,1.756,5.656,3671776.4,6431225.093,6431225.093,,success,2026-04-14T07:38:15+00:00,fresh,
binance,ARBUSDC,ARB,USDC,0.112500,0.987,24904953.7,2785317.277250,2785317.277250,,success,2026-04-14T07:37:59+00:00,fresh,
binance,ARBUSDT,ARB,USDT,0.112500,1.078,282944290.2,31630167.865370,31630167.865370,,success,2026-04-14T07:38:23+00:00,fresh,
binance,ARCUSDT,ARC,USDT,0.0741200,-0.202,111764503,8165370.0581000,8165370.0581000,,success,2026-04-14T07:38:23+00:00,fresh,
binance,ARIAUSDT,ARIA,USDT,0.8545000,2.201,243738929,199114233.7096800,199114233.7096800,,success,2026-04-14T07:38:25+00:00,fresh,
binance,ARKUSDT,ARK,USDT,0.1686000,3.246,3472448,579700.6230000,579700.6230000,,success,2026-04-14T07:38:25+00:00,fresh,
binance,ARKMUSDT,ARKM,USDT,0.1011000,5.203,73985854,7458948.8048000,7458948.8048000,,success,2026-04-14T07:38:09+00:00,fresh,
binance,ARPAUSDT,ARPA,USDT,0.00929,0.432,114064114,1059558.37150,1059558.37150,,success,2026-04-14T07:38:25+00:00,fresh,
binance,ASRUSDT,ASR,USDT,1.252000,1.294,670067.3,833448.412000,833448.412000,,success,2026-04-14T07:38:05+00:00,fresh,
binance,ASTERUSDT,ASTER,USDT,0.6690000,1.318,66347114,44340402.2548000,44340402.2548000,,success,2026-04-14T07:38:25+00:00,fresh,
binance,ASTRUSDT,ASTR,USDT,0.0076110,2.533,120510257,912535.0734680,912535.0734680,,success,2026-04-14T07:38:10+00:00,fresh,
binance,ATUSDT,AT,USDT,0.1705300,17.396,63908341,10536624.6635200,10536624.6635200,,success,2026-04-14T07:38:27+00:00,fresh,
binance,ATAUSDT,ATA,USDT,0.0092500,6.444,130526898,1183134.7840900,1183134.7840900,,success,2026-04-14T07:38:26+00:00,fresh,
binance,ATHUSDT,ATH,USDT,0.0061950,5.071,2523522725,15975075.9590140,15975075.9590140,,success,2026-04-14T07:38:16+00:00,fresh,
binance,ATOMUSDT,ATOM,USDT,1.766,2.317,7828154.08,13638794.144,13638794.144,,success,2026-04-14T07:38:10+00:00,fresh,
binance,AUCTIONUSDT,AUCTION,USDT,4.809000,2.647,353737.73,1680927.125420,1680927.125420,,success,2026-04-14T07:38:25+00:00,fresh,
binance,AVAUSDT,AVA,USDT,0.2075000,1.170,3617821.9,747111.9832200,747111.9832200,,success,2026-04-14T07:38:12+00:00,fresh,
binance,AVAAIUSDT,AVAAI,USDT,0.0083170,21.718,747192084,6132802.5250950,6132802.5250950,,success,2026-04-14T07:38:24+00:00,fresh,
binance,AVAXUSDC,AVAX,USDC,9.423000,4.076,1308149.03,12210775.665150,12210775.665150,,success,2026-04-14T07:38:15+00:00,fresh,
binance,AVAXUSDT,AVAX,USDT,9.4180,4.043,20328988,189891975.7750,189891975.7750,,success,2026-04-14T07:38:25+00:00,fresh,
binance,AVNTUSDT,AVNT,USDT,0.1334000,3.331,41660971,5553137.2017000,5553137.2017000,,success,2026-04-14T07:38:13+00:00,fresh,
binance,AWEUSDT,AWE,USDT,0.0521300,2.719,19019463,978731.6048400,978731.6048400,,success,2026-04-14T07:38:04+00:00,fresh,
binance,AXLUSDT,AXL,USDT,0.0460700,1.925,120227771.3,5593966.4450100,5593966.4450100,,success,2026-04-14T07:38:19+00:00,fresh,
binance,AXSUSDT,AXS,USDT,1.11600,4.592,15470337,17054908.56800,17054908.56800,,success,2026-04-14T07:38:22+00:00,fresh,
binance,AZTECUSDT,AZTEC,USDT,0.0210400,1.495,161493120,3413208.2221400,3413208.2221400,,success,2026-04-14T07:37:59+00:00,fresh,
binance,BUSDT,B,USDT,0.1870000,9.677,11913866,2187776.8927000,2187776.8927000,,success,2026-04-14T07:37:59+00:00,fresh,
binance,B2USDT,B2,USDT,0.6969000,10.025,3280507,2266884.2794000,2266884.2794000,,success,2026-04-14T07:38:06+00:00,fresh,
binance,B3USDT,B3,USDT,0.0003124,-0.762,4887734144,1529254.7327181,1529254.7327181,,success,2026-04-14T07:38:12+00:00,fresh,
binance,BABYUSDT,BABY,USDT,0.0150400,7.123,201300717,2903784.5269700,2903784.5269700,,success,2026-04-14T07:38:23+00:00,fresh,
binance,BANUSDT,BAN,USDT,0.0946900,-0.577,291957362,24956636.8123000,24956636.8123000,,success,2026-04-14T07:38:26+00:00,fresh,
binance,BANANAUSDT,BANANA,USDT,3.4990000,3.429,588293.0,2033142.1350000,2033142.1350000,,success,2026-04-14T07:38:13+00:00,fresh,
binance,BANANAS31USDT,BANANAS31,USDT,0.0109090,8.558,1180637482,12450223.6879590,12450223.6879590,,success,2026-04-14T07:38:16+00:00,fresh,
binance,BANDUSDT,BAND,USDT,0.2066,1.673,6121497.3,1252773.7211,1252773.7211,,success,2026-04-14T07:38:19+00:00,fresh,
binance,BANKUSDT,BANK,USDT,0.0377200,4.228,130680425,4813785.7954400,4813785.7954400,,success,2026-04-14T07:38:17+00:00,fresh,
binance,BARDUSDT,BARD,USDT,0.3358000,1.481,125889378,41685594.4143000,41685594.4143000,,success,2026-04-14T07:38:22+00:00,fresh,
binance,BASUSDT,BAS,USDT,0.0066890,-2.606,1328800744,8972652.1512480,8972652.1512480,,success,2026-04-14T07:38:22+00:00,fresh,
binance,BASEDUSDT,BASED,USDT,0.0643600,-2.337,982064438,64980000.4805000,64980000.4805000,,success,2026-04-14T07:38:23+00:00,fresh,
binance,BATUSDT,BAT,USDT,0.0968,1.895,17049307.4,1633559.7522,1633559.7522,,success,2026-04-14T07:38:01+00:00,fresh,
binance,BBUSDT,BB,USDT,0.0252700,2.598,249159942,6457431.8750300,6457431.8750300,,success,2026-04-14T07:38:09+00:00,fresh,
binance,BCHUSDC,BCH,USDC,435.36,2.563,16952.211,7317338.75,7317338.75,,success,2026-04-14T07:38:25+00:00,fresh,
binance,BCHUSDT,BCH,USDT,435.28,2.571,159683.418,69001833.18,69001833.18,,success,2026-04-14T07:38:23+00:00,fresh,
binance,BEAMXUSDT,BEAMX,USDT,0.0018820,3.236,553318038,1034694.8706020,1034694.8706020,,success,2026-04-14T07:38:25+00:00,fresh,
binance,BEATUSDT,BEAT,USDT,0.3953000,8.301,113919918,43782554.6704000,43782554.6704000,,success,2026-04-14T07:38:24+00:00,fresh,
binance,BELUSDT,BEL,USDT,0.10550,6.998,36659221,3848061.99770,3848061.99770,,success,2026-04-14T07:38:26+00:00,fresh,
binance,BERAUSDT,BERA,USDT,0.410100,2.142,15598488.5,6357056.789470,6357056.789470,,success,2026-04-14T07:38:25+00:00,fresh,
binance,BICOUSDT,BICO,USDT,0.0211000,-1.125,53463900,1129194.9400400,1129194.9400400,,success,2026-04-14T07:38:13+00:00,fresh,
binance,BIGTIMEUSDT,BIGTIME,USDT,0.0126300,3.610,133168661,1669025.1316600,1669025.1316600,,success,2026-04-14T07:36:59+00:00,fresh,
binance,BIOUSDC,BIO,USDC,0.0185200,5.647,45605221,828353.4211300,828353.4211300,,success,2026-04-14T07:38:22+00:00,fresh,
binance,BIOUSDT,BIO,USDT,0.0185500,5.398,393187217,7172073.1054000,7172073.1054000,,success,2026-04-14T07:38:20+00:00,fresh,
binance,BIRBUSDT,BIRB,USDT,0.1337500,3.771,8223435,1085147.4894100,1085147.4894100,,success,2026-04-14T07:38:01+00:00,fresh,
binance,BLESSUSDT,BLESS,USDT,0.0184780,95.452,29934895511,606017777.6069230,606017777.6069230,,success,2026-04-14T07:38:24+00:00,fresh,
binance,BLUAIUSDT,BLUAI,USDT,0.0090110,3.396,1242384928,10779742.6898260,10779742.6898260,,success,2026-04-14T07:38:23+00:00,fresh,
binance,BLURUSDT,BLUR,USDT,0.0210800,-0.940,615144794,13146845.2192600,13146845.2192600,,success,2026-04-14T07:38:25+00:00,fresh,
binance,BMTUSDT,BMT,USDT,0.0146100,2.383,61020555,884873.6022800,884873.6022800,,success,2026-04-14T07:38:23+00:00,fresh,
binance,BNBUSDC,BNB,USDC,614.560,2.898,56815.31,34540729.643,34540729.643,,success,2026-04-14T07:38:20+00:00,fresh,
binance,BNBUSDT,BNB,USDT,614.200,2.871,602293.18,366071858.717,366071858.717,,success,2026-04-14T07:38:23+00:00,fresh,
binance,BNTUSDT,BNT,USDT,0.3072000,4.703,2694977,803574.9916000,803574.9916000,,success,2026-04-14T07:38:10+00:00,fresh,
binance,BOBUSDT,BOB,USDT,0.0077050,-2.518,1094329169,8897670.7677870,8897670.7677870,,success,2026-04-14T07:38:16+00:00,fresh,
binance,BOMEUSDC,BOME,USDC,0.0004202,11.845,3768967164,1579336.6098322,1579336.6098322,,success,2026-04-14T07:38:05+00:00,fresh,
binance,BOMEUSDT,BOME,USDT,0.0004204,11.898,30374008060,12802355.6681084,12802355.6681084,,success,2026-04-14T07:38:26+00:00,fresh,
binance,BRUSDT,BR,USDT,0.1249600,1.109,51746552,6556776.5422500,6556776.5422500,,success,2026-04-14T07:38:17+00:00,fresh,
binance,BRETTUSDT,BRETT,USDT,0.0072460,9.755,644712404,4602617.5568230,4602617.5568230,,success,2026-04-14T07:38:25+00:00,fresh,
binance,BREVUSDT,BREV,USDT,0.1219000,4.905,24494940,2976105.1472000,2976105.1472000,,success,2026-04-14T07:38:26+00:00,fresh,
binance,BROCCOLI714USDT,BROCCOLI714,USDT,0.0151600,12.882,4828168800,81771326.7982600,81771326.7982600,,success,2026-04-14T07:38:24+00:00,fresh,
binance,BROCCOLIF3BUSDT,BROCCOLIF3B,USDT,0.0047640,15.828,1246056325,5827340.2563390,5827340.2563390,,success,2026-04-14T07:38:17+00:00,fresh,
binance,BSBUSDT,BSB,USDT,0.2484200,17.096,52312177,12014672.9796300,12014672.9796300,,success,2026-04-14T07:38:23+00:00,fresh,
binance,BSVUSDT,BSV,USDT,15.50000,3.127,123145.7,1877420.25600,1877420.25600,,success,2026-04-14T07:37:50+00:00,fresh,
binance,BTCUSDC,BTC,USDC,74558.4,5.426,57008.673,4154382451.5,4154382451.5,,success,2026-04-14T07:38:25+00:00,fresh,
binance,BTCUSDT,BTC,USDT,74517.50,5.400,222289.196,16204609199.80,16204609199.80,,success,2026-04-14T07:38:23+00:00,fresh,
binance,BTCDOMUSDT,BTCDOM,USDT,5222.5,-0.082,1067.196,5607606.8,5607606.8,,success,2026-04-14T07:38:14+00:00,fresh,
binance,BTRUSDT,BTR,USDT,0.0289600,0.381,75911841,2151922.0820600,2151922.0820600,,success,2026-04-14T07:38:26+00:00,fresh,
binance,BULLAUSDT,BULLA,USDT,0.0094210,9.407,5787512108,59975358.1139180,59975358.1139180,,success,2026-04-14T07:38:22+00:00,fresh,
binance,BZUSDT,BZ,USDT,93.92000,-3.859,3709444.68,352891993.73650,352891993.73650,,success,2026-04-14T07:38:24+00:00,fresh,
binance,CUSDT,C,USDT,0.0653500,-1.596,93482717,6086725.0706900,6086725.0706900,,success,2026-04-14T07:38:24+00:00,fresh,
binance,C98USDT,C98,USDT,0.0195,1.036,111837682,2169615.7637,2169615.7637,,success,2026-04-14T07:38:13+00:00,fresh,
binance,CAKEUSDT,CAKE,USDT,1.5646000,4.852,13550361,21123334.5468000,21123334.5468000,,success,2026-04-14T07:38:01+00:00,fresh,
binance,CARVUSDT,CARV,USDT,0.0534400,3.606,12423847,656093.4054500,656093.4054500,,success,2026-04-14T07:38:18+00:00,fresh,
binance,CATIUSDT,CATI,USDT,0.0469500,-3.395,59944934,2871497.1619700,2871497.1619700,,success,2026-04-14T07:38:28+00:00,fresh,
binance,CCUSDT,CC,USDT,0.1548300,4.157,180505881,28456453.3152900,28456453.3152900,,success,2026-04-14T07:38:23+00:00,fresh,
binance,CELOUSDT,CELO,USDT,0.080250,2.806,22272202.2,1773955.412704,1773955.412704,,success,2026-04-14T07:38:01+00:00,fresh,
binance,CELRUSDT,CELR,USDT,0.00237,0.00,221795369,522729.24111,522729.24111,,success,2026-04-14T07:37:58+00:00,fresh,
binance,CETUSUSDT,CETUS,USDT,0.0197500,2.811,36840110,719955.3784400,719955.3784400,,success,2026-04-14T07:38:15+00:00,fresh,
binance,CFGUSDT,CFG,USDT,0.1996000,3.634,67288295,13456022.2625000,13456022.2625000,,success,2026-04-14T07:38:24+00:00,fresh,
binance,CFXUSDT,CFX,USDT,0.0540400,3.664,100613741,5395945.7066700,5395945.7066700,,success,2026-04-14T07:38:23+00:00,fresh,
binance,CGPTUSDT,CGPT,USDT,0.0198100,2.963,42348559,822162.2948900,822162.2948900,,success,2026-04-14T07:38:25+00:00,fresh,
