token,venue_count,venues,earliest_listing_time_utc,earliest_listing_time_sgt,listing_age_days,coingecko_id,current_price_usd,price_change_24h_pct,volume_24h_usd,market_cap_usd,match_status
BASED,4,"Binance, Bitget, Bybit, OKX",2026-03-30T08:23:42+00:00,2026-03-30 16:23:42 SGT,16,based-one,0.076315,19.377673065984,188310941.15991961956,17950692.692987959832,matched_override_map
EDGE,4,"Binance, Bitget, Bybit, OKX",2026-03-19T14:00:00+00:00,2026-03-19 22:00:00 SGT,26.8,edgex,0.996788,11.872829737873,26246342.388241309673,349211383.929473161697,matched_override_map
BSB,4,"Binance, Bitget, Bybit, OKX",2026-03-25T11:45:00+00:00,2026-03-25 19:45:00 SGT,20.9,block-street,0.228634,-7.622814513857,17614078.563048519194,49345883.914938211441,matched_override_map
PRL,3,"Binance, Bitget, Bybit",2026-03-27T04:50:57+00:00,2026-03-27 12:50:57 SGT,19.2,perle,0.181867,3.961661411461,3621345.242349053267,31828477.389097988605,matched_override_map
CFG,3,"Binance, Bitget, Bybit",2026-03-16T13:00:00+00:00,2026-03-16 21:00:00 SGT,29.8,centrifuge,0.203495,0.978849577885,303506.244221065717,0,matched_override_map
BZ,3,"Binance, Bitget, OKX",2026-03-24T10:00:00+00:00,2026-03-24 18:00:00 SGT,21.9,,,,,,unmatched_no_symbol_candidate
NATGAS,2,"Binance, Bitget",2026-04-01T09:20:00+00:00,2026-04-01 17:20:00 SGT,14,,,,,,unmatched_no_symbol_candidate
OFC,1,OKX,2026-04-09T11:00:00+00:00,2026-04-09 19:00:00 SGT,5.9,onefootball-club,0.04520793,-7.702310724872,13906325.992630269378,7293309.787070114166,matched_exact_symbol_unique
CRWV,1,OKX,2026-04-10T12:00:00+00:00,2026-04-10 20:00:00 SGT,4.9,,,,,,unmatched_no_symbol_candidate
IWM,1,OKX,2026-04-10T12:00:00+00:00,2026-04-10 20:00:00 SGT,4.9,,,,,,unmatched_no_symbol_candidate
PAYP,1,Binance,2026-03-23T14:30:00+00:00,2026-03-23 22:30:00 SGT,22.8,,,,,,unmatched_no_symbol_candidate
UP,1,OKX,2026-04-08T11:00:00+00:00,2026-04-08 19:00:00 SGT,6.9,,,,,,unmatched_ambiguous_symbol_candidates
