token,venue_count,venues,earliest_listing_time_utc,earliest_listing_time_sgt,listing_age_days,coingecko_id,current_price_usd,price_change_24h_pct,volume_24h_usd,market_cap_usd,match_status
0G,5,"Binance, Bitget, Bybit, Hyperliquid, OKX",2025-09-17T15:45:00+00:00,2025-09-17 23:45:00 SGT,209.7,zero-gravity,0.59438,1.698338966775,25677161.349799159914,126694202.990797519684,matched_exact_symbol_unique
1000000BABYDOGE,1,Bybit,2024-06-11T11:34:12+00:00,2024-06-11 19:34:12 SGT,672.9,,,,,,unmatched_no_symbol_candidate
1000000BOB,1,Binance,2025-06-05T08:30:00+00:00,2025-06-05 16:30:00 SGT,314,,,,,,unmatched_no_symbol_candidate
1000000CHEEMS,1,Bybit,2024-11-25T10:40:12+00:00,2024-11-25 18:40:12 SGT,505.9,,,,,,unmatched_ambiguous_symbol_candidates
1000000MOG,3,"Binance, Bitget, Bybit",2024-05-16T15:43:33+00:00,2024-05-16 23:43:33 SGT,698.7,og-fan-token,3.18,17.030807847879,59586840.950040832162,14775373.945244627073,matched_stripped_multiplier_unique
10000QUBIC,1,Bybit,2024-12-24T09:53:58+00:00,2024-12-24 17:53:58 SGT,476.9,qubic-network,0.000000770139,-4.445599896916,2046942.588209703332,105378027.277477607131,matched_stripped_multiplier_unique
10000SATS,1,Bybit,2023-11-16T09:41:35+00:00,2023-11-16 17:41:35 SGT,881,,,,,,unmatched_ambiguous_symbol_candidates
1000BONK,3,"Binance, Bitget, Bybit",2023-01-06T02:10:39+00:00,2023-01-06 10:10:39 SGT,1195.3,1000bonk,0.00590574,-0.185816000148,825921.972101609223,0,matched_exact_symbol_unique
1000BTT,1,Bybit,2022-02-25T06:08:18+00:00,2022-02-25 14:08:18 SGT,1510.1,1000btt,,,,,matched_exact_symbol_unique
1000CAT,3,"Binance, Bitget, Bybit",2024-09-12T11:35:05+00:00,2024-09-12 19:35:05 SGT,579.9,1000cat,0.00171996,0.791811791908,1058902.315506582148,0,matched_exact_symbol_unique
1000CHEEMS,1,Binance,2024-11-25T11:45:00+00:00,2024-11-25 19:45:00 SGT,505.9,1000chems,0.0004908,2.897062213602,1539856.627888741205,0,matched_exact_symbol_unique
1000FLOKI,2,"Binance, Bybit",2023-02-24T08:56:26+00:00,2023-02-24 16:56:26 SGT,1146,,,,,,unmatched_ambiguous_symbol_candidates
1000LUNC,2,"Binance, Bybit",2022-09-08T07:00:00+00:00,2022-09-08 15:00:00 SGT,1315.1,,,,,,unmatched_ambiguous_symbol_candidates
1000NEIROCTO,1,Bybit,2024-09-16T09:47:04+00:00,2024-09-16 17:47:04 SGT,576,,,,,,unmatched_no_symbol_candidate
1000PEPE,2,"Binance, Bybit",2023-05-03T10:04:31+00:00,2023-05-03 18:04:31 SGT,1077.9,,,,,,unmatched_ambiguous_symbol_candidates
1000RATS,3,"Binance, Bitget, Bybit",2023-11-22T06:14:14+00:00,2023-11-22 14:14:14 SGT,875.1,1000rats,,,,,matched_exact_symbol_unique
1000SATS,2,"Binance, Bitget",2023-12-12T14:00:00+00:00,2023-12-12 22:00:00 SGT,854.8,1000sats-ordinals,0.00001146,-0.597440995854,1218607.142512909137,0,matched_exact_symbol_unique
1000SHIB,1,Binance,2021-05-10T07:00:00+00:00,2021-05-10 15:00:00 SGT,1801.1,1000shib,,,,,matched_exact_symbol_unique
1000TAG,1,Bybit,2025-07-28T08:37:38+00:00,2025-07-28 16:37:38 SGT,261,tagger,0.00073579,-8.740638076753,8544120.562134483829,80199010.260837882757,matched_stripped_multiplier_unique
1000TOSHI,1,Bybit,2024-12-05T09:22:42+00:00,2024-12-05 17:22:42 SGT,496,,,,,,unmatched_ambiguous_symbol_candidates
1000TURBO,1,Bybit,2024-02-29T11:12:19+00:00,2024-02-29 19:12:19 SGT,775.9,,,,,,unmatched_ambiguous_symbol_candidates
1000XEC,3,"Binance, Bitget, Bybit",2021-09-16T07:00:00+00:00,2021-09-16 15:00:00 SGT,1672.1,ecash,0.00000691,-0.725002614195,4067972.137280577328,138374247.501474529505,matched_stripped_multiplier_unique
1INCH,5,"Binance, Bitget, Bybit, dYdX, OKX",2020-12-25T02:30:00+00:00,2020-12-25 10:30:00 SGT,1937.3,1inch,0.094493,-0.466378689351,8979883.138346683234,132697320.014459758997,matched_exact_symbol_unique
1MBABYDOGE,2,"Binance, Bitget",2024-09-16T11:35:00+00:00,2024-09-16 19:35:00 SGT,575.9,1mbabydoge,0.00039671,-0.982797788566,597746.997288967948,0,matched_exact_symbol_unique
1MCHEEMS,1,Bitget,,,,,,,,,unmatched_ambiguous_symbol_candidates
2Z,6,"Binance, Bitget, Bybit, dYdX, Hyperliquid, OKX",2025-10-02T12:30:00+00:00,2025-10-02 20:30:00 SGT,194.8,doublezero,0.080758,0.425402234741,6656430.13186735101,280420529.6690710783,matched_exact_symbol_unique
4,3,"Binance, Bitget, Bybit",2025-10-08T11:30:00+00:00,2025-10-08 19:30:00 SGT,188.9,4-2,0.01056755,-9.512080136557,9707077.837819753215,10549437.703775759786,matched_exact_symbol_unique
A,4,"Binance, Bitget, Bybit, OKX",2025-05-28T08:00:00+00:00,2025-05-28 16:00:00 SGT,322,vaulta,0.078734,-0.667024173088,13073487.408840928227,128640369.171044036746,matched_exact_symbol_unique
AAPL,3,"Binance, Bitget, OKX",2026-03-04T08:15:00+00:00,2026-03-04 16:15:00 SGT,42,,,,,,unmatched_no_symbol_candidate
AAVE,6,"Binance, Bitget, Bybit, dYdX, Hyperliquid, OKX",2019-09-25T08:00:00+00:00,2019-09-25 16:00:00 SGT,2394,aave,100.36,-0.098097853625,276725703.314384818077,1518188063.456989049911,matched_exact_symbol_unique
ACE,4,"Binance, Bitget, Bybit, Hyperliquid",2023-12-18T06:49:35+00:00,2023-12-18 14:49:35 SGT,849.1,,,,,,unmatched_ambiguous_symbol_candidates
ACH,4,"Binance, Bitget, Bybit, OKX",2022-04-08T08:07:37+00:00,2022-04-08 16:07:37 SGT,1468,alchemy-pay,0.00599578,-2.878503290138,4288002.670156045817,29637030.283925116062,matched_exact_symbol_unique
ACN,1,Bitget,,,,,,,,,unmatched_no_symbol_candidate
ACT,4,"Binance, Bitget, Bybit, OKX",2024-11-11T08:14:12+00:00,2024-11-11 16:14:12 SGT,520,,,,,,unmatched_ambiguous_symbol_candidates
ACU,4,"Binance, Bitget, Bybit, OKX",2026-01-21T12:45:00+00:00,2026-01-21 20:45:00 SGT,83.8,acurast,0.09077,-1.436623715572,6282919.416353063658,22007304.086559344083,matched_exact_symbol_unique
